Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037600801","Census Tract 6008.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"600801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6008.01",,,,1202,38,60,53,41,32,29,12,7,28,53,72,105,120,180,253,119,3.16,4.99,4.41,3.41,2.66,2.41,1,0.58,2.33,4.41,5.99,8.74,9.98,14.98,21.05,9.9
"06037600802","Census Tract 6008.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"600802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6008.02",,,,1174,11,19,80,105,32,0,49,179,47,99,92,165,102,84,63,47,0.94,1.62,6.81,8.94,2.73,0,4.17,15.25,4,8.43,7.84,14.05,8.69,7.16,5.37,4
"06037600902","Census Tract 6009.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"600902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6009.02",,,,2230,143,43,90,99,117,108,98,92,186,223,132,304,56,196,307,36,6.41,1.93,4.04,4.44,5.25,4.84,4.39,4.13,8.34,10,5.92,13.63,2.51,8.79,13.77,1.61
"06037600911","Census Tract 6009.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"600911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6009.11",,,,1046,53,41,33,36,64,56,12,0,63,37,103,81,108,87,128,144,5.07,3.92,3.15,3.44,6.12,5.35,1.15,0,6.02,3.54,9.85,7.74,10.33,8.32,12.24,13.77
"06037600912","Census Tract 6009.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"600912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6009.12",,,,1428,28,42,31,32,16,92,58,0,61,100,301,239,179,108,112,29,1.96,2.94,2.17,2.24,1.12,6.44,4.06,0,4.27,7,21.08,16.74,12.54,7.56,7.84,2.03
"06037601001","Census Tract 6010.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6010.01",,,,1037,103,180,81,36,82,10,20,43,9,42,45,79,48,133,94,32,9.93,17.36,7.81,3.47,7.91,0.96,1.93,4.15,0.87,4.05,4.34,7.62,4.63,12.83,9.06,3.09
"06037601002","Census Tract 6010.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6010.02",,,,2013,330,91,36,67,117,70,78,33,70,115,101,367,239,131,53,115,16.39,4.52,1.79,3.33,5.81,3.48,3.87,1.64,3.48,5.71,5.02,18.23,11.87,6.51,2.63,5.71
"06037601100","Census Tract 6011, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6011",,,,2050,181,72,60,104,138,91,25,76,37,312,239,354,90,77,51,143,8.83,3.51,2.93,5.07,6.73,4.44,1.22,3.71,1.8,15.22,11.66,17.27,4.39,3.76,2.49,6.98
"06037601202","Census Tract 6012.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6012.02",,,,1061,66,7,33,8,18,9,45,51,53,87,172,168,52,84,132,76,6.22,0.66,3.11,0.75,1.7,0.85,4.24,4.81,5,8.2,16.21,15.83,4.9,7.92,12.44,7.16
"06037601211","Census Tract 6012.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6012.11",,,,1093,23,16,111,133,29,44,84,79,29,102,48,129,110,96,28,32,2.1,1.46,10.16,12.17,2.65,4.03,7.69,7.23,2.65,9.33,4.39,11.8,10.06,8.78,2.56,2.93
"06037601212","Census Tract 6012.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6012.12",,,,1978,117,139,91,101,123,48,162,16,111,54,150,427,185,133,72,49,5.92,7.03,4.6,5.11,6.22,2.43,8.19,0.81,5.61,2.73,7.58,21.59,9.35,6.72,3.64,2.48
"06037601301","Census Tract 6013.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6013.01",,,,741,38,0,9,18,25,9,44,7,86,70,73,64,96,48,74,80,5.13,0,1.21,2.43,3.37,1.21,5.94,0.94,11.61,9.45,9.85,8.64,12.96,6.48,9.99,10.8
"06037601302","Census Tract 6013.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6013.02",,,,2634,221,102,77,12,184,0,49,66,61,233,375,362,302,175,185,230,8.39,3.87,2.92,0.46,6.99,0,1.86,2.51,2.32,8.85,14.24,13.74,11.47,6.64,7.02,8.73
"06037601303","Census Tract 6013.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6013.03",,,,2158,214,119,87,140,86,131,72,144,69,139,273,251,188,167,19,59,9.92,5.51,4.03,6.49,3.99,6.07,3.34,6.67,3.2,6.44,12.65,11.63,8.71,7.74,0.88,2.73
"06037601401","Census Tract 6014.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6014.01",,,,1740,99,86,89,58,38,91,95,116,134,125,215,143,178,51,162,60,5.69,4.94,5.11,3.33,2.18,5.23,5.46,6.67,7.7,7.18,12.36,8.22,10.23,2.93,9.31,3.45
"06037601402","Census Tract 6014.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6014.02",,,,1321,26,50,0,78,72,62,49,20,52,44,124,317,90,109,152,76,1.97,3.79,0,5.9,5.45,4.69,3.71,1.51,3.94,3.33,9.39,24,6.81,8.25,11.51,5.75
"06037601501","Census Tract 6015.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"601501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 6015.01",,,,973,34,49,55,105,50,71,61,22,36,105,101,156,7,71,31,19,3.49,5.04,5.65,10.79,5.14,7.3,6.27,2.26,3.7,10.79,10.38,16.03,0.72,7.3,3.19,1.95
